ATOM_K? dx dy
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
